video_id,title,publishedAt,duration,viewCount,likeCount,commentCount
QJI0an6irrA,"30 Celebrities Fight For $1,000,000!",2026-01-07T20:00:09Z,PT41M58S,28911624,1051682,52870
mktYW177p6U,Guess the Animal,2026-01-06T17:00:02Z,PT53S,103454454,1968937,9317
7aE4EhHXzlA,I Paid Everyone Stuck in Traffic,2025-12-26T17:00:05Z,PT27S,60096934,1878986,31699
IJkB-oapuks,"Giving Away $1,000,000 in Gifts To My Subscribers",2025-12-21T17:00:01Z,PT19S,385239263,3965926,175398
ZFoNBxpXen4,"Survive 30 Days Trapped In The Sky, Win $250,000",2025-12-20T17:00:01Z,PT37M26S,117066801,2235004,91589
RB71Z-vVvCc,"Find The Real Celebrity, Win $10,000",2025-12-19T17:00:02Z,PT33S,130445606,2853290,11246
fO5FwBcCJBY,"Would You Date Him for $10,000?",2025-12-12T17:00:03Z,PT33S,101571200,2736273,18494
U-x6KxH1kB4,How Many People to Pull a Plane?,2025-12-06T19:55:52Z,PT27S,33078752,722934,11740
8bMh8azh3CY,100 Pilots Fight For A Private Jet,2025-12-06T17:00:01Z,PT28M46S,118527576,1739469,69281
SE9xF1l3ZwE,"Hit The Target, Keep The Prize",2025-12-05T17:00:03Z,PT26S,42282871,964437,8758
rF00lQ_upzg,"Whatever You Hold Onto, You Keep",2025-12-02T20:00:01Z,PT26S,53432394,727461,9879
uZY9xr-QAk0,"Flip a Coin, I’ll Pay For Your College",2025-11-28T17:00:01Z,PT34S,225575771,3633676,18187
AWBsoArakNY,Who Has The Fastest Reaction Time?,2025-11-25T17:00:00Z,PT31S,63060239,1429423,7662
Ah_uuTwGOYU,World's Fastest Man Vs Robot!,2025-11-22T17:00:01Z,PT18M24S,90905885,1775333,63088
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21T19:40:01Z,PT29S,30197989,786031,11030
WROMyJAJmp4,Can I Beat An F1 Driver?,2025-11-18T17:00:01Z,PT11S,241728630,2240132,11158
tAwzBYE18Us,How I Became MrBeef,2025-11-16T20:00:02Z,PT46S,26809700,1048154,14324
LyFMbY-c_Lc,I Raced Noah Lyles,2025-11-14T17:00:01Z,PT32S,237405500,3222501,9396
3RmOvxilbPM,100 People Vs World’s Biggest Trap!,2025-11-08T17:00:00Z,PT30M43S,96079951,1828992,82179
R7MkZL5i3FQ,Giving Trick-or-Treaters Weirder and Weirder Gifts,2025-11-07T17:00:05Z,PT27S,126103099,1487638,11810
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03T17:00:01Z,PT1M7S,29534682,1177935,15599
PryTbmudhS8,Can We Stop World's Best Tennis Player,2025-10-31T16:00:02Z,PT23S,76529414,1280140,10738
Oo9EbArcQ1c,"I Saved 1,000 Animals From Dying",2025-10-25T16:00:01Z,PT17M36S,142624143,2984331,54597
yWEUL3crU_E,I Baked a Cake In a Race Car,2025-10-21T16:00:01Z,PT38S,39430248,742729,7401
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,PT46S,54920825,1686713,8744
gtkqnhN0VkU,"Answer The Door, Win $10,000",2025-10-14T16:00:00Z,PT31S,71132902,2144350,43060
oBXSvS2QKxU,100 Kids Vs World's Strongest Man!,2025-10-11T16:00:00Z,PT27M21S,144674160,2684557,49926
UTdcX1e0cMA,"Jump Over The Lava, Win!",2025-10-10T16:00:01Z,PT1M3S,65463168,1832212,10893
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,PT34S,88036123,2366515,8704
