title,duration,video_id,likeCount,viewCount,publishedAt,commentCount
"30 Celebrities Fight For $1,000,000!",PT41M58S,QJI0an6irrA,1379397,43378003,2026-01-07T20:00:09Z,63109
Guess the Animal,PT53S,mktYW177p6U,2320194,127409910,2026-01-06T17:00:02Z,10492
I Paid Everyone Stuck in Traffic,PT27S,7aE4EhHXzlA,1900253,61089391,2025-12-26T17:00:05Z,32001
"Giving Away $1,000,000 in Gifts To My Subscribers",PT19S,IJkB-oapuks,4040976,397093744,2025-12-21T17:00:01Z,176076
"Survive 30 Days Trapped In The Sky, Win $250,000",PT37M26S,ZFoNBxpXen4,2244900,118073331,2025-12-20T17:00:01Z,91937
"Find The Real Celebrity, Win $10,000",PT33S,RB71Z-vVvCc,2886431,132549019,2025-12-19T17:00:02Z,11333
"Would You Date Him for $10,000?",PT33S,fO5FwBcCJBY,2755067,102524737,2025-12-12T17:00:03Z,18577
How Many People to Pull a Plane?,PT27S,U-x6KxH1kB4,726216,33277997,2025-12-06T19:55:52Z,11771
100 Pilots Fight For A Private Jet,PT28M46S,8bMh8azh3CY,1742186,118896096,2025-12-06T17:00:01Z,69391
"Hit The Target, Keep The Prize",PT26S,SE9xF1l3ZwE,967967,42465139,2025-12-05T17:00:03Z,8794
"Whatever You Hold Onto, You Keep",PT26S,rF00lQ_upzg,729879,53603768,2025-12-02T20:00:01Z,9907
"Flip a Coin, I’ll Pay For Your College",PT34S,uZY9xr-QAk0,3649045,226651602,2025-11-28T17:00:01Z,18232
Who Has The Fastest Reaction Time?,PT31S,AWBsoArakNY,1433545,63306203,2025-11-25T17:00:00Z,7667
World's Fastest Man Vs Robot!,PT18M24S,Ah_uuTwGOYU,1776640,91112327,2025-11-22T17:00:01Z,63124
I Surprised 50 Make-A-Wish Kids With Disneyland,PT29S,HISfrcjiNPM,789736,30374646,2025-11-21T19:40:01Z,11021
Can I Beat An F1 Driver?,PT11S,WROMyJAJmp4,2255077,243489666,2025-11-18T17:00:01Z,11172
How I Became MrBeef,PT46S,tAwzBYE18Us,1051276,26912576,2025-11-16T20:00:02Z,14336
I Raced Noah Lyles,PT32S,LyFMbY-c_Lc,3239999,239358585,2025-11-14T17:00:01Z,9416
100 People Vs World’s Biggest Trap!,PT30M43S,3RmOvxilbPM,1830460,96299411,2025-11-08T17:00:00Z,82216
