title,duration,video_id,likeCount,viewCount,publishedAt,commentCount
"30 Celebrities Fight For $1,000,000!",PT41M58S,QJI0an6irrA,1422693,44966642,2026-01-07T20:00:09Z,64698
Guess the Animal,PT53S,mktYW177p6U,2389691,131928315,2026-01-06T17:00:02Z,10776
I Paid Everyone Stuck in Traffic,PT27S,7aE4EhHXzlA,1907081,61330820,2025-12-26T17:00:05Z,32084
"Giving Away $1,000,000 in Gifts To My Subscribers",PT19S,IJkB-oapuks,4060593,401406268,2025-12-21T17:00:01Z,176278
"Survive 30 Days Trapped In The Sky, Win $250,000",PT37M26S,ZFoNBxpXen4,2247164,118234627,2025-12-20T17:00:01Z,92015
"Find The Real Celebrity, Win $10,000",PT33S,RB71Z-vVvCc,2894725,133081504,2025-12-19T17:00:02Z,11345
"Would You Date Him for $10,000?",PT33S,fO5FwBcCJBY,2759641,102737548,2025-12-12T17:00:03Z,18598
How Many People to Pull a Plane?,PT27S,U-x6KxH1kB4,727140,33329646,2025-12-06T19:55:52Z,11785
100 Pilots Fight For A Private Jet,PT28M46S,8bMh8azh3CY,1742830,118951994,2025-12-06T17:00:01Z,69413
"Hit The Target, Keep The Prize",PT26S,SE9xF1l3ZwE,968798,42502759,2025-12-05T17:00:03Z,8800
"Whatever You Hold Onto, You Keep",PT26S,rF00lQ_upzg,730620,53647220,2025-12-02T20:00:01Z,9918
"Flip a Coin, I’ll Pay For Your College",PT34S,uZY9xr-QAk0,3655150,227124120,2025-11-28T17:00:01Z,18253
Who Has The Fastest Reaction Time?,PT31S,AWBsoArakNY,1434450,63357075,2025-11-25T17:00:00Z,7671
World's Fastest Man Vs Robot!,PT18M24S,Ah_uuTwGOYU,1776956,91145594,2025-11-22T17:00:01Z,63136
I Surprised 50 Make-A-Wish Kids With Disneyland,PT29S,HISfrcjiNPM,790951,30424317,2025-11-21T19:40:01Z,11027
Can I Beat An F1 Driver?,PT11S,WROMyJAJmp4,2259797,243973264,2025-11-18T17:00:01Z,11184
How I Became MrBeef,PT46S,tAwzBYE18Us,1052207,26937202,2025-11-16T20:00:02Z,14343
I Raced Noah Lyles,PT32S,LyFMbY-c_Lc,3244188,239725122,2025-11-14T17:00:01Z,9417
100 People Vs World’s Biggest Trap!,PT30M43S,3RmOvxilbPM,1830856,96339224,2025-11-08T17:00:00Z,82213
Giving Trick-or-Treaters Weirder and Weirder Gifts,PT27S,R7MkZL5i3FQ,1490931,126383661,2025-11-07T17:00:05Z,11795
MrBeast Lab Disaster!,PT1M7S,26QQE7EsnLA,1180616,29639569,2025-11-03T17:00:01Z,15617
Can We Stop World's Best Tennis Player,PT23S,PryTbmudhS8,1282979,76746735,2025-10-31T16:00:02Z,10744
"I Saved 1,000 Animals From Dying",PT17M36S,Oo9EbArcQ1c,2987531,142946540,2025-10-25T16:00:01Z,54666
I Baked a Cake In a Race Car,PT38S,yWEUL3crU_E,744515,39537136,2025-10-21T16:00:01Z,7415
"First to Answer the Phone, Wins $10,000",PT46S,JgJrQnDIRgg,1692215,55135469,2025-10-17T16:00:00Z,8764
"Answer The Door, Win $10,000",PT31S,gtkqnhN0VkU,2148570,71310802,2025-10-14T16:00:00Z,43165
100 Kids Vs World's Strongest Man!,PT27M21S,oBXSvS2QKxU,2686078,144893768,2025-10-11T16:00:00Z,49959
"Jump Over The Lava, Win!",PT1M3S,UTdcX1e0cMA,1837190,65702992,2025-10-10T16:00:01Z,10923
"Call Your Ex, Win $10,000",PT34S,oiZvK6MY7tI,2372934,88325982,2025-10-07T16:00:00Z,8727
Hi Me In 10 Years,PT3M14S,F0OkwXKcPSE,3499366,54337197,2025-10-04T16:00:07Z,109157
World’s Fastest Dinner Date,PT34S,686PL7rt654,3349021,234874311,2025-10-03T16:00:03Z,11053
"Would You Risk Dying For $500,000?",PT25M26S,zo7i8VTpfNM,2164538,111544777,2025-09-27T16:00:04Z,30615
Would Your Grandma Go Skydiving?,PT42S,NfhuGUyWYfQ,2371718,83250329,2025-09-26T18:00:07Z,8471
I Cooked A Pizza With Power Tools,PT40S,wIpWCJKfRXs,7594290,408980718,2025-09-23T16:00:07Z,32722
Which Celebrity Punches The Hardest?,PT47S,9Xeepzg1B8I,3171927,152028610,2025-09-19T16:00:03Z,9466
"Answer The Call, Win $10,000",PT39S,50G0kIty7Cg,8598089,843510874,2025-09-16T17:00:04Z,20098
"Survive 30 Days Chained To Your Ex, Win $250,000",PT37M4S,4l97aNza_Zc,3778756,191924809,2025-09-13T16:00:01Z,60618
I Arrested IShowSpeed,PT35S,3ih2bPKSWsQ,2170995,72704878,2025-09-12T17:00:01Z,6412
I Raced IShowSpeed,PT47S,uA9Zcg3vHvo,7809343,434487271,2025-09-01T20:45:41Z,9971
"$1 vs $1,000,000,000 Nuclear Bunker!",PT17M18S,_AbFXuGDRTs,2755618,139339468,2025-08-30T16:00:11Z,35663
1 Subscriber = 1 Penny Donated,PT18S,MOGW3v3pJ5Y,22693032,586071097,2025-08-29T16:00:10Z,29014
"Pick The Wrong Tube, Get Slimed",PT36S,XNtTO_339kU,2624766,116544991,2025-08-27T16:00:02Z,8132
Reaction Time Challenge,PT29S,rB9NynBZ4go,1969586,122917499,2025-08-19T16:00:02Z,11143
"Survive 100 Days In Prison, Win $500,000",PT39M36S,TDv56whosPQ,2995452,138657257,2025-08-16T19:00:02Z,41740
Every YouTube Play Button I Have,PT15S,R_BmT1OJw98,2989007,185047181,2025-08-15T16:00:01Z,17689
1 Subscriber = 1 Second In The Arctic,PT17S,vpRW4JhzfSE,2642729,89953459,2025-08-08T16:00:02Z,11453
Guess What Hit You,PT32S,qXW93Cois2s,1342399,78858168,2025-08-05T16:00:01Z,6017
$1  = One Year of Clean Water,PT32S,r7f0L48dHpc,3941541,133745134,2025-08-02T16:00:02Z,16748
"2,000,000 People Get Clean Water For The First Time!",PT10M20S,Z4hVGCWH1Kc,2352004,89781657,2025-08-01T16:00:01Z,45809
"Don’t Turn Around, Win $10k",PT31S,zxuICI0kL3s,6536179,355068601,2025-07-31T16:00:01Z,9318
